candidate_id,product_id,area_pixels,area_m2,centroid_row,centroid_col,centroid_x_m,centroid_y_m,centroid_lat,centroid_lon,mean_ratio_proxy,mean_intensity,mean_pol_imbalance_proxy,mean_texture,mean_candidate_score,interpretation,rank,mean_slope_deg,max_slope_deg,std_slope_deg,mean_dem_roughness_proxy,slope_condition,mean_ice_probability,max_ice_probability,mean_terrain_roughness,ice_confidence_score,shallow_ice_likelihood,deep_ice_likelihood,psr_stability_proxy,depth_likelihood_class,mean_ratio_contribution,mean_intensity_contribution,mean_roughness_suitability_contribution,mean_psr_proxy_contribution,area_km2,equivalent_candidate_patch_diameter_m,equivalent_diameter_m,max_candidate_score,threshold_stability,mean_uncertainty_score,confidence_score,confidence_score_after_roughness_penalty,confidence_level,confidence_before_penalty,confidence_after_penalty,candidate_confidence_after_roughness_penalty,roughness_penalty_score,roughness_ambiguity_risk,radar_ambiguity_flag,threshold_stability_class,reason_for_confidence,validation_priority_rank,slope_safety_score,roughness_hazard_score,refined_candidate_score,refinement_status,refined_rank
C-055,ch2_sar_ncls_20200808t201154198_d_cp_d18,8,5000.0,213.0,488.625,77864.338366,11048.818869000002,-87.40691873656922,81.92374258254729,1.4569249153137207,7.851357460021973,0.18393030762672424,0.13780471682548523,0.8225793838500977,radar-based candidate subsurface ice signature; requires independent validation,8,0.0,0.0,0.0,0.0,low mean slope; favorable screening context,0.8393717408180237,0.8634000420570374,0.0,1.0,1.0,0.6499999761581421,0.28291943669319153,shallow-likelihood,0.28117689304053783,0.2667193468660116,0.22279146872460842,0.06868401169776917,0.005,79.78845608028654,79.78845608028654,0.8684244751930237,0.6666666865348816,0.0,0.7165587401390076,0.7086260965943002,Medium,Medium,Medium,Medium,0.007932643544707343,Low,roughness ambiguity manageable in current proxy layers,Medium,Medium before penalty; Medium after roughness penalty; low roughness ambiguity and medium threshold stability.,5,1.0,0.0,0.9196858704090118,kept_for_planning,1.0
C-051,ch2_sar_ncls_20200808t201154198_d_cp_d18,12,7500.0,210.08333333333334,497.75,78092.463366,11121.735535666669,-87.39913610233359,81.89458351568479,1.2961418628692627,7.860620021820068,0.12836618721485138,0.17128802835941315,0.7502073645591736,radar-based candidate subsurface ice signature; requires independent validation,26,0.0,0.0,0.0,0.0,low mean slope; favorable screening context,0.7769244313240051,0.8498249053955078,0.0,0.9929514477650324,0.9908368686834971,0.6408368547757467,0.2784054254492124,shallow-likelihood,0.23779942219456038,0.26109010726213455,0.21066450327634811,0.06737035140395164,0.0075,97.720502380584,97.720502380584,0.86232990026474,0.3333333134651184,0.0,0.6759637885827284,0.6531076287659622,Low,Low,Low,Low,0.022856159816766253,Low,roughness ambiguity manageable in current proxy layers,Low,Low before penalty; Low after roughness penalty; low roughness ambiguity and low threshold stability.,14,1.0,0.0,0.8884622156620026,kept_for_planning,12.0
C-024,ch2_sar_ncls_20200808t201154198_d_cp_d18,9,5625.0,155.55555555555554,418.8888888888889,76120.93558822222,12484.929980111114,-87.45656972165081,80.68559734811808,1.474238395690918,7.554494857788086,0.18665435910224915,0.20302413403987885,0.7896605730056763,radar-based candidate subsurface ice signature; requires independent validation,16,0.0,0.0,0.0,0.0,low mean slope; favorable screening context,0.7681735754013062,0.8102823495864868,0.0,0.9971799850463867,0.9963339699639214,0.6463339593675401,0.3117169174883101,shallow-likelihood,0.2747952822181914,0.2171433518330256,0.19917035433981153,0.07706459860006969,0.005625,84.62843753216345,84.62843753216345,0.8519221544265747,0.5,0.0,0.6849990756695087,0.6479981294550676,Low,Medium,Low,Low,0.03700094621444104,Low,roughness ambiguity manageable in current proxy layers,Medium,Medium before penalty; Low after roughness penalty; low roughness ambiguity and medium threshold stability.,15,1.0,0.0,0.8840867877006531,kept_for_planning,13.0
C-056,ch2_sar_ncls_20200808t201154198_d_cp_d18,13,8125.0,216.15384615384616,100.53846153846153,68162.17490446153,10969.972715153848,-87.72352995184431,80.85725620599514,1.3938628435134888,7.397137641906738,0.16262267529964447,0.2293158918619156,0.7468208074569702,radar-based candidate subsurface ice signature; requires independent validation,28,0.0,0.0,0.0,0.0,low mean slope; favorable screening context,0.7678461074829102,0.8143599033355713,0.0,0.9898415299562308,0.9867939765636737,0.6367939618917612,0.466553827890983,shallow-likelihood,0.2673598172572943,0.18871326171434843,0.1896480264571997,0.12212494302254456,0.008125,101.71072362820549,101.71072362820549,0.8411502242088318,0.44871801137924194,0.0,0.7102647222005404,0.661545536131579,Low,Medium,Low,Low,0.048719186068961466,Low,roughness ambiguity manageable in current proxy layers,Medium,Medium before penalty; Low after roughness penalty; low roughness ambiguity and medium threshold stability.,13,1.0,0.0,0.8839230537414551,kept_for_planning,14.0
C-017,ch2_sar_ncls_20200808t201154198_d_cp_d18,8,5000.0,142.0,480.25,77654.963366,12823.818869000002,-87.40486335886055,80.62289373292774,1.5735130310058594,7.435154914855957,0.21425041556358337,0.14248764514923096,0.7514060735702515,radar-based candidate subsurface ice signature; requires independent validation,25,0.0,0.0,0.0,0.0,low mean slope; favorable screening context,0.7678335309028625,0.8075891733169556,0.0,0.9860539138317108,0.9818700850009918,0.6318700611591339,0.28172717243433,shallow-likelihood,0.28281925432384014,0.19558185525238514,0.2210954036563635,0.06833704002201557,0.005,79.78845608028654,79.78845608028654,0.818941593170166,0.1666666716337204,0.025590956211090088,0.5912241822481156,0.5812043569451317,Low,Low,Low,Low,0.010019825302983886,Low,roughness ambiguity manageable in current proxy layers,Low,Low before penalty; Low after roughness penalty; low roughness ambiguity and low threshold stability.,43,1.0,0.0,0.8839167654514313,kept_for_planning,15.0
C-016,ch2_sar_ncls_20200808t201154198_d_cp_d18,9,5625.0,141.22222222222223,427.6666666666667,76340.38003266667,12843.263313444448,-87.44749864314161,80.45016802565665,1.3982973098754883,7.614110469818115,0.16203759610652924,0.18968307971954346,0.7678987979888916,radar-based candidate subsurface ice signature; requires independent validation,21,0.0,0.0,0.0,0.0,low mean slope; favorable screening context,0.7675329446792603,0.8367038369178772,0.0,0.9910621378156874,0.9883807632658217,0.6383807526694404,0.306455565823449,shallow-likelihood,0.26008324490653145,0.22791403697596657,0.204002203212844,0.07553345213333766,0.005625,84.62843753216345,84.62843753216345,0.8544721007347107,0.3333333432674408,0.0,0.6447019763176258,0.6136471397355671,Low,Low,Low,Low,0.031054836582058723,Low,roughness ambiguity manageable in current proxy layers,Low,Low before penalty; Low after roughness penalty; low roughness ambiguity and low threshold stability.,30,1.0,0.0,0.8837664723396301,kept_for_planning,16.0
C-022,ch2_sar_ncls_20200808t201154198_d_cp_d18,14,8750.0,150.21428571428572,434.85714285714283,76520.14193742856,12618.46172614286,-87.44287141754643,80.635981089599,1.3501790761947632,8.132880210876465,0.14731211960315704,0.2867884039878845,0.834157407283783,radar-based candidate subsurface ice signature; requires independent validation,5,0.0,0.0,0.0,0.0,low mean slope; favorable screening context,0.7663081884384155,0.8151025176048279,0.0,1.0,1.0,0.6499999761581421,0.30377192156655447,shallow-likelihood,0.2537036325250353,0.2690194227865764,0.1688326820731163,0.07475246116518974,0.00875,105.5502061411188,105.5502061411188,0.9448346495628357,0.6547619104385376,0.0,0.791728906264672,0.7173942141237104,Medium,High,Medium,Medium,0.07433469214096153,Low,roughness ambiguity manageable in current proxy layers,Medium,High before penalty; Medium after roughness penalty; low roughness ambiguity and medium threshold stability.,4,1.0,0.0,0.8831540942192078,kept_for_planning,17.0
C-013,ch2_sar_ncls_20200808t201154198_d_cp_d18,8,5000.0,132.625,435.125,76526.838366,13058.193869000002,-87.44025557205642,80.31657073181313,1.3832488059997559,7.575519561767578,0.15696047246456146,0.18960455060005188,0.7476060390472412,radar-based candidate subsurface ice signature; requires independent validation,27,0.0,0.0,0.0,0.0,low mean slope; favorable screening context,0.7530583143234253,0.8410464525222778,0.0,0.9661756008863449,0.9560282677412033,0.6060282588005066,0.30225471407175064,shallow-likelihood,0.2537748385220766,0.2209419161081314,0.20403065346181393,0.07431092672049999,0.005,79.78845608028654,79.78845608028654,0.8980979323387146,0.1666666716337204,0.0,0.5925672668218612,0.561547430678495,Low,Low,Low,Low,0.03101983614336628,Low,roughness ambiguity manageable in current proxy layers,Low,Low before penalty; Low after roughness penalty; low roughness ambiguity and low threshold stability.,49,1.0,0.0,0.8765291571617126,kept_for_planning,18.0
C-044,ch2_sar_ncls_20200808t201154198_d_cp_d18,8,5000.0,192.875,511.625,78439.338366,11551.943869000002,-87.38578818207894,81.62214036205805,1.4512617588043213,7.753561019897461,0.1772446185350418,0.2416689395904541,0.8039652705192566,radar-based candidate subsurface ice signature; requires independent validation,10,0.0,0.0,0.0,0.0,low mean slope; favorable screening context,0.752707839012146,0.8131279349327087,0.0,0.9901851862668991,0.9872407466173172,0.6372407227754593,0.2706635035574436,shallow-likelihood,0.25825013034045696,0.24416638538241386,0.1851740088313818,0.0651173135265708,0.005,79.78845608028654,79.78845608028654,0.936305582523346,0.3333333432674408,0.0,0.6439355552196502,0.5897106141837833,Low,Low,Low,Low,0.054224941035866885,Low,roughness ambiguity manageable in current proxy layers,Low,Low before penalty; Low after roughness penalty; low roughness ambiguity and low threshold stability.,40,1.0,0.0,0.876353919506073,kept_for_planning,19.0
C-048,ch2_sar_ncls_20200808t201154198_d_cp_d18,8,5000.0,199.5,572.5,79961.213366,11386.318869000002,-87.3369269092905,81.89567870004812,1.413528323173523,7.457609176635742,0.1698388159275055,0.14522245526313782,0.7401145100593567,radar-based candidate subsurface ice signature; requires independent validation,30,0.0,0.0,0.0,0.0,low mean slope; favorable screening context,0.7523375153541565,0.7858182787895203,0.0,0.9864968359470367,0.9824458658695221,0.632445864379406,0.24232415482401848,shallow-likelihood,0.2757237385958433,0.19963881559669971,0.2201049104332924,0.05687004840001464,0.005,79.78845608028654,79.78845608028654,0.79300457239151,0.3333333432674408,0.0,0.6235033118724823,0.612264581348773,Low,Low,Low,Low,0.011238730523709302,Low,roughness ambiguity manageable in current proxy layers,Low,Low before penalty; Low after roughness penalty; low roughness ambiguity and low threshold stability.,31,1.0,0.0,0.8761687576770782,kept_for_planning,20.0
C-033,ch2_sar_ncls_20200808t201154198_d_cp_d18,17,10625.0,179.23529411764707,456.8235294117647,77069.30160129411,11892.936516058826,-87.42876554583835,81.22760705594902,1.4067412614822388,7.456506729125977,0.1596430540084839,0.13041673600673676,0.6938923597335815,radar-based candidate subsurface ice signature; requires independent validation,50,0.0,0.0,0.0,0.0,low mean slope; favorable screening context,0.7504600286483765,0.8363298773765564,0.0,0.9551178322118872,0.9416531534755931,0.5916531506706687,0.2955905760035795,shallow-likelihood,0.25318177833276634,0.19943945022190318,0.22546724098570206,0.07237154157722697,0.010625,116.31066229203195,116.31066229203195,0.817721426486969,0.2352941483259201,0.041902560740709305,0.6956833594750901,0.6910435399347986,Medium,Medium,Medium,Medium,0.004639819540291493,Low,roughness ambiguity manageable in current proxy layers,Low,Medium before penalty; Medium after roughness penalty; low roughness ambiguity and low threshold stability.,7,1.0,0.0,0.8752300143241882,kept_for_planning,21.0
