candidate_id,area_m2,area_km2,equivalent_candidate_patch_diameter_m,equivalent_diameter_m,centroid_lat,centroid_lon,mean_candidate_score,max_candidate_score,mean_ratio_proxy,mean_texture,mean_slope_deg,max_slope_deg,distance_to_nearest_landing_candidate_m,nearest_landing_site_id,route_accessible_yes_no,threshold_stability,mean_uncertainty_score,confidence_score,confidence_level,validation_priority_rank,slope_condition
C-053,9375.0,0.009375,109.25484305920791,109.25484305920791,-87.37866334028057,81.60000904743451,0.7999980449676514,0.874777615070343,1.4528228044509888,0.14519503712654114,2.3299899101257324,3.6580698490142822,948.5383492510991,L-04,needs route check,1.0,0.0,0.8879993743896484,High,1,low mean slope; favorable screening context
C-026,5000.0,0.005,79.78845608028654,79.78845608028654,-87.25742738081112,80.46189694130216,0.651563286781311,0.7316036820411682,1.3601657152175903,0.14091196656227112,3.0684077739715576,3.662529945373535,832.0543570735028,L-03,needs route check,0.875,0.09725607186555862,0.6937746445834637,Medium,53,low mean slope; favorable screening context
C-013,5000.0,0.005,79.78845608028654,79.78845608028654,-87.00598410256141,80.08090352861282,0.6143960952758789,0.6387938857078552,1.2997013330459595,0.15798678994178772,2.036370038986206,2.231706142425537,7116.478593948344,L-03,needs route check,0.875,0.10459115356206894,0.6811476351320744,Medium,54,low mean slope; favorable screening context
C-037,5000.0,0.005,79.78845608028654,79.78845608028654,-87.21687547807966,81.28739648417982,0.7991576790809631,0.8648660182952881,1.3680636882781982,0.27335044741630554,7.353898048400879,8.187342643737793,892.503501393692,L-03,needs route check,1.0,0.0,0.6767304573059082,Low,55,moderate slope context; review needed
C-004,6250.0,0.00625,89.20620580763855,89.20620580763855,-87.35123772178625,78.33228297084622,0.7116290330886841,0.7882626056671143,1.444003701210022,0.13501790165901184,7.853569030761719,8.179039001464844,3469.078588040346,L-02,needs route check,1.0,0.04584012180566788,0.6761372784078121,Low,56,moderate slope context; review needed
C-063,10000.0,0.01,112.83791670955127,112.83791670955127,-87.72345576227536,80.85695062186366,0.7351826429367065,0.8411502242088318,1.3919508457183838,0.23002129793167114,12.609016418457031,13.49665641784668,8740.571929585043,L-02,needs route check,1.0,0.0,0.6742584457397461,Low,57,steep local context; lower landing/traverse priority
C-010,5000.0,0.005,79.78845608028654,79.78845608028654,-87.33409885461833,78.58734681680886,0.7323462963104248,0.8212826251983643,1.392566442489624,0.16453373432159424,9.028818130493164,9.851787567138672,3685.8311901794964,L-02,needs route check,1.0,0.0,0.655350814819336,Low,58,moderate slope context; review needed
C-051,5000.0,0.005,79.78845608028654,79.78845608028654,-87.3890312954376,81.44020160498567,0.6987521052360535,0.7681260108947754,1.31504225730896,0.1393042504787445,5.849486351013184,6.26649284362793,1028.8988349201295,L-05,needs route check,1.0,0.0,0.6446006736755371,Low,59,moderate slope context; review needed
C-018,5000.0,0.005,79.78845608028654,79.78845608028654,-87.28872202625024,79.41068251157786,0.6780619025230408,0.7300169467926025,1.380331039428711,0.1412801891565323,7.016072750091553,7.209445476531982,2604.120832929993,L-03,needs route check,1.0,0.0,0.637979808807373,Low,60,moderate slope context; review needed
C-038,5625.0,0.005625,84.62843753216345,84.62843753216345,-87.44337380480127,80.63219210165786,0.8308277130126953,0.8882961273193359,1.3394454717636108,0.27294987440109253,23.512035369873047,24.73196029663086,902.9871552071689,L-02,needs route check,1.0,0.0,0.5928648681640626,Low,61,steep local context; lower landing/traverse priority
C-065,5625.0,0.005625,84.62843753216345,84.62843753216345,-87.79440052414597,82.09787757083001,0.7794984579086304,0.8595634698867798,1.3570657968521118,0.16264525055885315,16.42576026916504,17.16067886352539,11144.108295030072,L-02,needs route check,1.0,0.0,0.5764395065307617,Low,62,steep local context; lower landing/traverse priority
C-029,5625.0,0.005625,84.62843753216345,84.62843753216345,-87.7156004805844,78.73857320522052,0.75523841381073,0.8524121642112732,1.4383716583251953,0.28193533420562744,16.22152328491211,17.442949295043945,8577.779576856461,L-02,needs route check,1.0,0.0,0.5686762924194336,Low,63,steep local context; lower landing/traverse priority
C-001,5625.0,0.005625,84.62843753216345,84.62843753216345,-87.31413929311933,78.46999733182524,0.6917432546615601,0.7946341037750244,1.3839770555496216,0.12143097817897797,10.70478630065918,13.889681816101074,4148.510442181494,L-03,needs route check,1.0,0.005262368358671665,0.5478316046558321,Low,64,steep local context; lower landing/traverse priority
C-005,5625.0,0.005625,84.62843753216345,84.62843753216345,-87.32984497019777,78.4413369264745,0.6852017045021057,0.8061178922653198,1.3960795402526855,0.1499018520116806,14.175182342529297,14.610235214233398,3903.667356110211,L-02,needs route check,0.9861111044883728,0.05286405608057976,0.5382003607302904,Low,65,steep local context; lower landing/traverse priority
