candidate_id,refinement_status,refined_rank,refined_candidate_score,area_m2,equivalent_candidate_patch_diameter_m,centroid_lat,centroid_lon,mean_ice_probability,max_ice_probability,ice_confidence_score,depth_likelihood_class,shallow_ice_likelihood,deep_ice_likelihood,psr_stability_proxy,mean_ratio_contribution,mean_intensity_contribution,mean_roughness_suitability_contribution,mean_psr_proxy_contribution,mean_candidate_score,mean_texture,mean_dem_roughness_proxy,mean_terrain_roughness,slope_safety_score,roughness_hazard_score,roughness_ambiguity_risk,confidence_before_penalty,confidence_after_penalty,candidate_confidence_after_roughness_penalty,confidence_level,reason_for_confidence,mean_slope_deg,max_slope_deg,nearest_landing_site_id,distance_to_nearest_landing_site_m,validation_priority_rank
C-049,kept_for_planning,22.0,0.8731935620307922,5625.0,84.62843753216345,-87.35476730563731,81.94382744215748,0.7463871240615845,0.8314120173454285,0.9825866354836358,shallow-likelihood,0.9773626062605116,0.6273626022868686,0.2526715199152629,0.25796255138185287,0.22664822969171736,0.20189497040377724,0.059881317946645946,0.7642315626144409,0.19550129771232605,0.0,0.0,1.0,0.0,Low,Low,Low,Low,Low,Low before penalty; Low after roughness penalty; low roughness ambiguity and low threshold stability.,0.0,0.0,L-03,2664.4811646065755,32
C-037,kept_for_planning,23.0,0.8730638921260834,5000.0,79.78845608028654,-87.3890312954376,81.44020160498567,0.7461277842521667,0.7878872752189636,0.9695664271712303,shallow-likelihood,0.9604363292455673,0.6104363277554512,0.27254463359713554,0.24588125012815,0.21233342215418816,0.22224836610257626,0.06566475424915552,0.6987521052360535,0.1393042504787445,0.0,0.0,1.0,0.0,Low,Low,Low,Low,Low,Low before penalty; Low after roughness penalty; low roughness ambiguity and low threshold stability.,0.0,0.0,L-05,1422.2149318932072,36
C-053,kept_for_planning,24.0,0.8724101483821869,6250.0,89.20620580763855,-87.41263880357486,81.87810483501713,0.7448202967643738,0.8085936307907104,0.9884365856647491,shallow-likelihood,0.9849675536155701,0.6349675416946411,0.2862370252609253,0.25437201410531995,0.2199731782078743,0.20082563459873198,0.06964949071407318,0.7518603801727295,0.19845379889011383,0.0,0.0,1.0,0.0,Low,Low,Low,Low,Low,Low before penalty; Low after roughness penalty; low roughness ambiguity and low threshold stability.,0.0,0.0,L-05,1436.3604178617563,27
C-047,kept_for_planning,25.0,0.8720645606517792,8125.0,101.71072362820549,-87.41702435821752,81.67449112832387,0.7441291213035583,0.7781693935394287,0.9681901473265427,shallow-likelihood,0.9586471777695876,0.6086471676826477,0.28878058378513044,0.26217127648683697,0.18778694249116457,0.2237812223342749,0.07038971265921226,0.6990141272544861,0.13507193326950073,0.0,0.0,1.0,0.0,Low,Low,Low,Low,Low,Low before penalty; Low after roughness penalty; low roughness ambiguity and low threshold stability.,0.0,0.0,L-05,1129.2539559556212,21
C-023,kept_for_planning,26.0,0.8703607022762299,8750.0,105.5502061411188,-87.35046299043985,81.05956982368916,0.7407214045524597,0.813073992729187,0.9738376012870243,shallow-likelihood,0.9659888829503741,0.6159888654947281,0.25017467992646353,0.26356849712984903,0.20347500060285842,0.21452323028019496,0.05915469330336366,0.7300246953964233,0.160633847117424,0.0,0.0,1.0,0.0,Low,Medium,Medium,Medium,Medium,Medium before penalty; Medium after roughness penalty; low roughness ambiguity and medium threshold stability.,0.0,0.0,L-03,1971.172990679326,8
C-036,kept_for_planning,27.0,0.8693384230136871,5000.0,79.78845608028654,-87.36425825338802,81.50316061292622,0.7386768460273743,0.7715758085250854,0.981310598552227,shallow-likelihood,0.9757037609815598,0.625703752040863,0.2581762485206127,0.27338728681206703,0.18920603767037392,0.2146002147346735,0.061483293771743774,0.7295149564743042,0.16042128205299377,0.0,0.0,1.0,0.0,Low,Low,Low,Low,Low,Low before penalty; Low after roughness penalty; low roughness ambiguity and low threshold stability.,0.0,0.0,L-03,2008.808726583992,47
C-014,kept_for_planning,28.0,0.8688808679580688,10625.0,116.31066229203195,-87.38297994859029,80.56000700388273,0.7377617359161377,0.8002734780311584,0.9670455631087808,shallow-likelihood,0.957159210653866,0.6071592148612527,0.26903459955664244,0.2659219512168099,0.1858432187753565,0.2213533152552212,0.06464327345876132,0.7048041224479675,0.14177554845809937,0.0,0.0,1.0,0.0,Low,Medium,Low,Low,Low,Medium before penalty; Low after roughness penalty; low roughness ambiguity and low threshold stability.,0.0,0.0,L-03,799.0153975589782,10
C-041,kept_for_planning,29.0,0.868054986000061,5000.0,79.78845608028654,-87.41092203882106,81.47332991220493,0.7361099720001221,0.7830184698104858,0.9613203555345535,shallow-likelihood,0.9497164487838745,0.5997164472937584,0.28524134680628777,0.2568473629653454,0.19155645743012428,0.218346381559968,0.06935972813516855,0.7023086547851562,0.15007787942886353,0.0,0.0,1.0,0.0,Low,Low,Low,Low,Low,Low before penalty; Low after roughness penalty; low roughness ambiguity and low threshold stability.,0.0,0.0,L-05,964.0814929247423,48
C-043,kept_for_planning,30.0,0.8668597638607025,5000.0,79.78845608028654,-87.41684022295088,81.48599618846708,0.733719527721405,0.7817984223365784,0.974208228290081,shallow-likelihood,0.9664706885814667,0.6164706870913506,0.28867389261722565,0.2562724556773901,0.19979368522763252,0.2072947397828102,0.07035866100341082,0.7200719714164734,0.18059217929840088,0.0,0.0,1.0,0.0,Low,Low,Low,Low,Low,Low before penalty; Low after roughness penalty; low roughness ambiguity and low threshold stability.,0.0,0.0,L-05,891.1237638510153,51
C-026,kept_for_planning,31.0,0.8660128712654114,5625.0,84.62843753216345,-87.46201763189752,80.69475303828796,0.7320257425308228,0.8209909200668335,1.0,shallow-likelihood,1.0,0.6499999761581421,0.3148768014378018,0.27148332364029354,0.22087377806504568,0.16168448660108778,0.07798418319887584,0.8278102278709412,0.30652502179145813,0.0,0.0,1.0,0.0,Low,Medium,Low,Low,Low,Medium before penalty; Low after roughness penalty; low roughness ambiguity and medium threshold stability.,0.0,0.0,L-04,120.72952117833763,16
